Model,File Name,n,reference,Units,type,quality.rating,set,select,bgcpaper,tmp,enaR,in.Ulanowicz,in.50set
''Baie de Somme'',''baiedesomme_8.dat'',8,''\cite{wilson07}'',''kJ m${-2} yr${-1}$'',TRO,,2,0,0,1,0,0,0
''Baie de Somme'',''somme_estuary.dat'',9,'' \citet{rybarczyk03}'',''mgC m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Baie de Somme'',''baiedesomme_12.dat'',12,''\cite{wilson07}'',''kJ m${-2} yr${-1}$'',TRO,,2,0,0,1,0,0,0
''Baltic Sea'',''baltic_aggregated.dat'',15,''  \citet{baird91}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Baltic Sea (N)'',''baltic_N.dat'',16,''\citet{hinrichsen98_baltic}'',''mg N m$^{-3}$ day$^{-1}$ '',BGC,,,1,1,,1,0,
''Bay of Quinte (post-ZM)'',''Lake_Quinte_Post_ZM_Unbalanced.dat'',80,''  \citet{miehls09_quinte}'',''g C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Bay of Quinte (pre-ZM)'',''Lake_Quinte_Pre_ZM_Unbalanced.dat'',74,''  \citet{miehls09_quinte}'',''g C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Bothnian Bay'',''BothnianBay.dat'',12,''  \citet{sandberg00}'',''gC m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Bothnian Sea'',''BothnianSea.dat'',12,''  \citet{sandberg00}'',''gC m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
"''Cape Fear River Estuary (N, oligohaline)''",''CFRE_HB_summer.dat'',8,''\citet{hines12}'',''nmol N cm$^{-3}$ d$^{-1}$'',BGC,,,1,1,1,1,0,
"''Cape Fear River Estuary (N, polyhaline)''",''CFRE_M35_summer.dat'',8,''unpublished'',''nmol N cm$^{-3}$ d$^{-1}$'',BGC,,,1,1,1,1,0,
''Charca de Maspalomas Lagoon'',''charca_lagoon.dat'',21,'' \citet{almunia99}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Chesapeake Bay '',''chesapeake_mesohaline_C_annual.dat'',36,'' \citet{baird89}'',''mg C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Chesapeake Bay (N)'',''chesapeake_meso_ann_N.dat'',36,''\citet{baird95}'',''mg N m$^{-2}$ yr$^{-1}$ '',BGC,,,1,1,1,1,0,
"''Chesapeake Bay (P, Fall)''",''chesapeake_mesohaline_f_P.dat'',36,''\citet{ulanowicz99}'',''mg P m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Chesapeake Bay (P, Spring)''",''chesapeake_mesohaline_sp_P.dat'',36,''\citet{ulanowicz99}'',''mg P m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Chesapeake Bay (P, Summer)''",''chesapeake_mesohaline_sum_P.dat'',36,''\citet{ulanowicz99}'',''mg P m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
"''Chesapeake Bay (P, Winter)''",''chesapeake_mesohaline_w_P.dat'',36,''\citet{ulanowicz99}'',''mg P m$^{-2}$ season$^{-1}$'',BGC,,,1,0,,1,0,
''Chesapeake Bay (P)'',''chesapeake_meso_ann_P.dat'',36,''\citet{ulanowicz99}'',''mg P m$^{-2}$ yr$^{-1}$'',BGC,,,1,1,1,1,0,
''Cone Springs'',''cone_spring.dat'',5,'' \citet{tilly68}'',''kcal m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Crystal River (control)'',''crystal_control.dat'',21,'' \citet{ulanowicz86}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Crystal River (thermal)'',''crystal_therm.dat'',21,'' \citet{ulanowicz86}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Cypress (dry)'',''atlss_cypress_dry.dat'',68,'' \citet{ulanowicz97_cypress}'',''g C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Cypress (wet)'',''atlss_cypress_wet.dat'',68,'' \citet{ulanowicz97_cypress}'',''g C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Delaware Bay'',''delaware_bay.dat'',37,,''mg C m$^{-2}$ d$^{-1}$ '',TRO,,2,1,0,1,0,,0
''Dublin Bay'',''dublinbay_8.dat'',8,''\cite{wilson07}'',''kJ m${-2} yr${-1}$'',TRO,,2,0,0,1,0,0,0
''Dublin Bay'',''dublinbay_12.dat'',12,''\cite{wilson07}'',''kJ m$^{-2} yr$^{-1}$'',TRO,,2,0,0,1,0,0,0
"''Duglas Fir Forest, WA (Ca)''",''Fir_forest_Ca.dat'',4,''\citet{jordan72}'',''kg Ca Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,1,1,1,0,
"''Duglas Fir Forest, WA (K)''",''Fir_forest_K.dat'',4,''\citet{jordan72}'',''kg K Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,1,1,1,0,
''Ems Estuary'',''Ems_Estuary.dat'',15,'' \citet{baird91}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
