 Symbol,enaR23JUL2014,NEA.m,NETWRK,Econet,Description,,,,,,
n,5.00,5.00,5.00,,No. of nodes,,,,,,
L,8.00,8.00,,,No. of links,,,,,,
C,0.32,0.32,,0.32,"Connectance, L/n^2",,,,,,
LD,1.60,1.60,,1.60,Link density,,,,,,
ppr,1.84,1.84,,,Path proliferation,,,,,,
lam1A,1.84,,,,Dominant eigen value of the adjacency matrix A,,,,,,
mlam1A,1.00,,,,Multiplicity of the dominant eigenvalue in A,,,,,,
rho,1.84,,,,Damping ratio,,,,,,
R,0.67,,,,Distance of lam1A from the bulk of the eigenspectrum,,,,,,
d,0.24,,,,Difference between dominant eigenvalue and link density,,,,,,
no.scc,2.00,,,,Number of strongly connected components,,,,,,
no.scc.big,1.00,,,,Number of SCC with more than one node,,,,,,
pscc,0.80,,,,Fraction of network nodes included in a big SCC ,,,,,,
Boundary,11819.00,11819.00,,,Sum of boundary inputs,,,,,,
TST,30626.00,30626.00,,30801.60,Total System Throughflow,,,,,,
TSTp,42445.00,,42445.00,,Total System Throughput,,,,,,
APL,2.59,2.59,,2.61,Average Path Length; Also called network aggradation,,,,,,
FCI,0.09,0.09,0.10,0.10,Finn Cycling Index,,,,,,
BFI,0.39,,,,"Boundary Flow Intensity, Boundary/TST",,,,,,
DFI,0.30,,,,"Direct Flow Intensity, Direct/TST",,,,,,
IFI,0.31,,,,"Indirect Flow Intensity, Indirect/TST",,,,,,
ID.F,1.02,,,,Ratio of Indirect to Direct Flow,,,,,,
ID.F.I,1.41,1.42,,,Input oriented ratio of indirect to direct flow intensity,,,,,,
ID.F.O,0.91,0.91,,,Output oriented ratio of indirect to direct flow intensity ,,,,,,
HMG.F.I,2.47,2.47,,,Input oriented network homogenization to direct flow intensity,,,,,,
HMG.F.O,1.87,1.88,,,Output oriented network homogenization to direct flow intensity,,,,,,
AMP.F.I,4.00,4.00,,,Input oriented network amplification,,,,,,
AMP.F.O,0.00,0.00,,,Output oriented network amplification,,,,,,
mode0.F,11819.00,11819.00,,,Boundary input,,,,,,
mode1.F,15991.28,15991.00,,,Internal First Passage Flow,,,,,,
mode2.F,2815.72,2815.70,,,Cycled Flow,,,,,,
mode3.F,15991.28,15991.00,,,Dissipative Equivalent to mode1.F,,,,,,
mode4.F,11819.00,11819.00,,,Dissipative Equivalent to mode0.F; boundary loss,,,,,,
AMI,1.34,,,,Average mutual information (bits) ,,,,,,
ASC,56725.49,,56725.00,56196.90,"Ascendency, AMI * TSTp ",,,,,,
OH,79139.25,,,,Overhead,,,,,,
CAP,135864.73,,135860.00,131063.00,Capacity ,,,,,,
ASC.CAP,0.42,,0.42,,Ascendency-to-capacity ratio (dimensionless) ,,,,,,
OH.CAP,0.58,,,,Overhead-to-capacity ratio (dimensionless) ,,,,,,
TSS,4058.40,,,,Total System Storage,,,,,,
CIS,0.85,,,,Storage Cycling Index,,,,,,
BSI,0.06,,,,Boundary Storage Intensity,,,,,,
DSI,0.05,,,,Direct Storage Intensity,,,,,,
ISI,0.88,,,,Indirect Storage Intensity,,,,,,
ID.S,16.44,,,,Ratio of Indirect-to-Direct storage (realized),,,,,,
ID.S.I,17.08,17.07,,,Storage-based input-oriented indirect-to-direct ratio ,,,,,,
ID.S.O,14.38,14.38,,,Storage-based input-oriented indirect-to-direct ratio,,,,,,
HMG.S.O,0.94,0.94,,,Input-oriented storage network homogenization ,,,,,,
HMG.S.I,1.00,1.00,,,Output-oriented storage network homogenization ,,,,,,
AMP.S.I,4.00,4.00,,,Input oriented network amplification,,,,,,
AMP.S.O,8.00,8.00,,,Output oriented network amplification,,,,,,
mode0.S,262.64,,,,Storage from boundary input ,,,,,,
mode1.S,355.36,,,,Storage from internal first passage flows ,,,,,,
mode2.S,3440.39,,,,Storage from cycled flow,,,,,,
mode3.S,355.36,,,,Dissipative equivalent to mode1.S ,,,,,,
mode4.S,262.64,,,,Dissipative equivalent to mode0.S ,,,,,,
lam1D,1.02,,,,Dominant eigenvalue of the flow based direct utility matrix (D),,,,,,
synergism.F,3.98,-9999,,,Benefit-cost ratio or network synergism (flow),,,,,,
mutualism.F,2.13,-9999,,,Positive to negative interaction ratio or network mutualism (flow) ,,,,,,
lam1DS,13.67,,,,Dominant eigenvalue of the storage based direct utility matrix (DS),,,,,,
synergism.S,4.64,-9999,,,Benefit-cost ratio or network synergism (storage),,,,,,
mutualism.S,3.17,-9999,,,Positive to negative interaction ratio or network mutualism (storage) ,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
